Codigo,Descricao,NotaFiscal,DataVenda,WeekVenda,Quantidade,LinhaProduto,ClienteGrupo,Cliente,CentroCusto
1,ANEL SINCRONIZADOR D140,17435,2019-11-14,2019w46,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17458,2019-11-19,2019w47,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,17483,2019-11-21,2019w47,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,17493,2019-11-22,2019w47,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17522,2019-11-25,2019w48,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17550,2019-11-28,2019w48,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17575,2019-11-29,2019w48,2,1,1013,096,21320
1,ANEL SINCRONIZADOR D140,17577,2019-11-29,2019w48,3,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,17591,2019-12-03,2019w49,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17601,2019-12-04,2019w49,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17625,2019-12-05,2019w49,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,17629,2019-12-06,2019w49,4,1,1031,032,21320
1,ANEL SINCRONIZADOR D140,17665,2019-12-11,2019w50,6,1,1208,239,21320
1,ANEL SINCRONIZADOR D140,17698,2019-12-13,2019w50,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17715,2019-12-16,2019w51,4,1,1031,032,21320
1,ANEL SINCRONIZADOR D140,17765,2019-12-20,2019w51,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17776,2019-12-20,2019w51,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,17779,2019-12-23,2019w52,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17784,2019-12-23,2019w52,4,1,1031,032,21320
1,ANEL SINCRONIZADOR D140,17785,2019-12-23,2019w52,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,17806,2019-12-27,2019w52,2,1,1013,232,21320
1,ANEL SINCRONIZADOR D140,17816,2020-01-02,2020w01,6,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17849,2020-01-06,2020w02,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,17860,2020-01-07,2020w02,2,1,1013,013,21320
1,ANEL SINCRONIZADOR D140,17863,2020-01-08,2020w02,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,17869,2020-01-08,2020w02,2,1,1249,287,21320
1,ANEL SINCRONIZADOR D140,17899,2020-01-10,2020w02,2,1,1013,013,21320
1,ANEL SINCRONIZADOR D140,17941,2020-01-15,2020w03,4,1,1249,287,21320
1,ANEL SINCRONIZADOR D140,17982,2020-01-17,2020w03,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,18050,2020-01-21,2020w04,2,1,1013,233,21320
2,ANEL SINCRONIZADOR D155,13244,2018-02-22,2018w08,4,1,1058,075,21320
2,ANEL SINCRONIZADOR D155,13289,2018-03-02,2018w09,2,1,1058,075,21320
2,ANEL SINCRONIZADOR D155,13497,2018-04-26,2018w17,2,1,1146,171,21320
2,ANEL SINCRONIZADOR D155,13695,2018-06-13,2018w24,2,1,1264,304,21320
2,ANEL SINCRONIZADOR D155,13697,2018-06-13,2018w24,2,1,1264,304,21320
2,ANEL SINCRONIZADOR D155,13699,2018-06-13,2018w24,2,1,1264,304,21320
2,ANEL SINCRONIZADOR D155,13734,2018-06-21,2018w25,2,1,1146,171,21320
2,ANEL SINCRONIZADOR D155,13743,2018-06-22,2018w25,2,1,1264,304,21320
2,ANEL SINCRONIZADOR D155,13763,2018-06-28,2018w26,2,1,1264,304,21320
2,ANEL SINCRONIZADOR D155,13790,2018-07-02,2018w27,2,1,1146,171,21320
2,ANEL SINCRONIZADOR D155,13794,2018-07-03,2018w27,4,1,1013,233,21320
2,ANEL SINCRONIZADOR D155,13802,2018-07-05,2018w27,2,1,1264,304,21320
2,ANEL SINCRONIZADOR D155,13822,2018-07-10,2018w28,2,1,1013,233,21320
2,ANEL SINCRONIZADOR D155,13833,2018-07-11,2018w28,4,1,1144,169,21320
2,ANEL SINCRONIZADOR D155,13849,2018-07-16,2018w29,2,1,1095,301,21320
2,ANEL SINCRONIZADOR D155,13850,2018-07-16,2018w29,2,1,1264,304,21320
2,ANEL SINCRONIZADOR D155,13854,2018-07-17,2018w29,4,1,1013,233,21320
2,ANEL SINCRONIZADOR D155,13860,2018-07-17,2018w29,2,1,1264,304,21320
